word	x	y	nearest
pardon	-71.727627581	-28.6411769345	0.656
similarity	18.2860723426	-40.29917894	0.329
yellow	35.622220541	-51.8704527333	0.358
sleep	51.0527214799	-71.0736466321	0.315
mansion	50.4675289806	15.9858233352	0.292
woody	64.7872808788	19.2473772736	0.299
appetite	60.0333029172	4.05816469485	0.268
integrity	38.19558214	13.4510308607	0.256
increase	11.4884398288	-28.9234458821	0.461
seduction	41.1442939538	-77.5004748372	0.229
investigation	46.5626600865	28.1259799577	0.296
lord	29.1786930127	-48.8844784081	0.369
sorry	44.9336833103	19.9302766586	0.329
pride	-52.2256663478	88.0095047186	0.973
worth	-70.165767093	58.3448716426	0.953
conjecture	54.6820085167	-23.4273044904	0.283
risk	-39.1553527447	-50.340502961	0.625
compassion	-76.0473243998	75.2020909297	0.961
rise	-36.3539068356	-54.3740507042	0.513
gratification	38.8691115461	60.716042829	0.492
despondence	-21.1956946891	-54.8517223262	0.502
utmost	-77.1511166002	57.5631694359	0.947
fireplace	62.6625260506	13.4429330982	0.313
chapel	61.269248224	-20.4568456817	0.277
school	-79.0195523357	-51.7040220173	0.583
abhorrence	60.1164588089	42.2591391928	0.454
frankness	80.8548775528	31.6939108558	0.360
convenience	-58.2522678435	35.1460495541	0.915
succession	64.3436046541	35.9476009141	0.403
whist	-20.6131232242	-71.5751603555	0.474
triumph	77.3957766883	14.3125154121	0.284
enjoy	-0.46813487078	-82.0098490111	0.286
farmhouse	47.2685818779	16.2263798706	0.260
card-table	76.4239982871	-12.855168115	0.237
force	-9.48103761357	-29.2981458731	0.333
self-gratulation	50.8059107282	10.98159814	0.240
street	-69.2288627264	60.4820881728	0.951
emptiness	6.28416463228	-22.3088523059	0.243
worthlessness	69.7454495027	-9.74473497198	0.226
liberty	-61.330829548	-24.3106248453	0.724
conduct	-77.6387403788	50.3777552305	0.943
admiral	-56.8262457165	-51.2580269248	0.666
inducement	36.9493803522	-24.2734829312	0.315
agreement	36.5440796775	81.6321830642	0.682
repugnance	32.1703772851	26.0303092699	0.250
gayer	63.1873476502	-40.2345199189	0.266
met	-46.9557677392	-46.5374670978	0.649
protection	32.8622638675	89.3199941665	0.788
pursuit	58.7330486732	-54.6258092361	0.250
humility	-4.21428872334	-66.1481492025	0.501
path	-73.3230239311	-32.1283186218	0.710
shortness	-80.0802755569	-26.8624017526	0.757
