word	x	y	nearest
limited	-6.12499120743	48.3572596914	0.833
pardon	86.1038576153	60.383952464	0.838
similarity	35.8768383661	-35.8989959902	0.861
doubts	-83.7785389949	-38.2501243035	0.864
all	74.5314849155	62.9538145976	0.492
sleep	14.0066715142	43.2282236989	0.742
scheming	67.3472043563	-2.23429083323	0.781
woody	14.8527506405	-26.9929454868	0.896
appetite	8.93808977616	46.9841914125	0.810
hate	40.1836615247	59.1939753533	0.734
liveliness	-7.35835948727	12.3837503748	0.753
sweetest	25.0632256516	-64.0854386737	0.747
neighbours	-36.6067980861	-25.3988261106	0.834
lord	65.858677359	58.0112581055	0.703
sorry	-55.0313792295	60.4482564317	0.854
pride	-78.6971799617	-46.3585183859	0.740
worth	85.9219588406	38.7099387783	0.744
conjecture	44.5606587769	31.9771492398	0.595
risk	-66.3367107609	-27.8251017475	0.801
tame	81.2043239159	34.3828578687	0.665
compassion	-35.75505762	16.502859359	0.798
rise	-8.16685334754	69.9850730562	0.817
gratification	-14.7956718295	31.029309622	0.724
affect	26.7581945833	80.1613588173	0.860
fireplace	19.5484749434	-15.0825801807	0.847
tickets	54.9640320857	-23.8968070006	0.869
school	-21.4783170043	-58.3958938231	0.741
recollections	-49.7394011357	-46.2446539173	0.922
abhorrence	63.6762318304	39.6545466853	0.630
frankness	53.502767752	29.3618314731	0.811
wednesday	18.297315034	-53.3224700891	0.796
convenience	-75.1928447009	-11.778092105	0.926
announced	9.20010992075	28.0148314059	0.795
guiding	37.6906438987	39.8857120157	0.763
succession	55.5472318914	-25.0650451834	0.838
whist	-6.26905389202	-56.683231421	0.802
triumph	-24.3178271397	-9.83080410992	0.849
farmhouse	40.4555164839	-15.0374283009	0.890
force	-27.235841451	-22.8919299177	0.896
diverting	-16.3871559224	19.1029609485	0.856
infancy	24.9276719665	22.2538071014	0.774
occasioned	0.364231078252	19.076295689	0.814
mansion	-8.25979569926	-53.4693128619	0.881
causeless	42.8170953155	-0.275329317182	0.771
repetition	-29.643890406	-49.6627006431	0.849
errors	-67.593876818	-1.91462312787	0.885
integrity	-3.21499026837	-1.56074453135	0.796
orchestra	21.1619942402	-18.9925787517	0.858
liberty	7.02656085071	-59.8012029367	0.753
dejection	37.0637894852	-5.28966027313	0.798
mischievous	36.3027721764	48.8965316482	0.753
conduct	-93.3102361962	3.16233005993	0.793
increasing	-54.6698185445	-12.8593142241	0.840
inducement	41.5332898998	58.2703745023	0.695
hero	-32.8796740989	-41.8375832911	0.911
join	7.43212851235	101.988862778	0.847
fervent	56.3590391686	-25.967129488	0.839
kindred	56.3240174474	-1.28711510676	0.751
met	21.4368525839	-81.1035104563	0.777
protection	61.1373182268	29.6239517414	0.638
pursuit	-81.3843578878	-25.4114537955	0.874
humility	37.4557405633	-8.55714560772	0.772
path	-21.9369694822	-54.6679482348	0.850
shortness	-31.1962493341	-36.0565818494	0.926
natured	-87.8970598451	24.4853179038	0.843
property	-44.1299961766	-48.4033706505	0.838
daughter	37.5194432645	-84.9868742041	0.842
unwillingness	20.0464409319	58.0569754477	0.782
pretensions	46.6092285328	18.3097328728	0.777
study	-37.2774903003	-12.1130279481	0.896
ridicule	21.1248880966	-34.709362379	0.814
yarmouth	78.4732398784	18.9364678343	0.636
credit	-70.4823404967	1.06244306204	0.808
military	80.4824352806	11.753182266	0.766
guardianship	23.1044138707	-25.5047068226	0.845
changes	-25.1647235074	4.24026730313	0.857
punishment	-4.8703216574	53.8865207361	0.777
verdure	49.8645249011	22.2271218531	0.661
secure	-16.4209378049	74.5923168077	0.801
feelings	-94.5467852231	3.98160575728	0.733
county	-52.467795285	-50.3143832908	0.895
patience	-42.1244627562	28.0503551917	0.777
remnant	37.3776844511	-35.4401162382	0.855
glance	50.8137213105	-49.0976977332	0.794
total	-81.5318651778	-25.3026670777	0.872
particularity	47.4297194679	4.12376331705	0.791
army	17.054322289	-19.5598133061	0.799
impartiality	48.8020758455	39.376290191	0.725
lessening	67.7315138028	0.0263523669515	0.709
music	-57.8651167892	1.63819476573	0.799
calm	-39.5479864474	20.3191249961	0.778
survive	73.3288756616	44.5718057556	0.680
tradesman	71.5400019094	-3.42577804736	0.697
capital	68.9758597756	-52.8008398883	0.804
preserved	8.08369975197	-15.3054136393	0.808
preparation	-67.6969282865	-50.7825606713	0.901
females	-34.6880028024	-50.0463951165	0.941
successful	10.6254999498	29.7397962749	0.827
aware	46.2323302673	94.4181072352	0.763
grief	-49.8313159311	-8.77421531293	0.887
glass	9.51965910914	-27.5619963348	0.858
midst	-73.8871423334	-73.3461869723	0.944
hold	3.22834372819	89.8420317106	0.824
striving	19.7471147302	49.9465261796	0.821
cake	-16.8119317391	7.73687499079	0.862
copse	65.0922182748	14.6411325724	0.743
shoot	26.8133581413	7.58197215198	0.785
word	87.3852254826	55.8975521529	0.735
room	-9.9901006721	-91.3128172188	0.743
shame	-47.6165016458	-3.18601713268	0.843
pursue	-6.09631347902	69.9828272947	0.877
work	-2.95583241507	-78.3772288666	0.713
refusing	5.1967611081	87.5333401917	0.857
roof	-31.8377838206	-22.3831773378	0.884
elbow	74.3648724198	20.2493095589	0.751
example	-36.3668079305	46.7972309711	0.815
quarrel	-15.4269839322	59.1505668946	0.860
impose	56.6085824148	62.5602322047	0.800
unmarked	51.8487449556	64.219573038	0.782
estate	-57.5594980285	-51.861675346	0.800
ingenuity	-38.5731780145	-26.6001099984	0.905
household	18.3656314594	-25.2311310342	0.861
assent	32.2613221045	49.7990625984	0.729
unpretending	58.7187813368	-32.9310680215	0.799
caution	-39.9139777444	-1.26347364056	0.831
want	-39.5180717487	69.2901665027	0.707
ceremony	-42.4611879689	-51.9037872603	0.832
end	-67.1009307896	-79.1032060734	0.675
recovery	3.15610730155	-3.45775577127	0.836
turn	-3.968783929	81.9074176174	0.776
inhabitants	7.39056982824	-16.7270674227	0.863
agony	-48.4207717247	-38.0652228345	0.884
song	41.9831710228	-30.487994235	0.759
feature	49.2003592196	-4.88194966582	0.691
stupidity	-26.79886341	-11.5436376146	0.880
answer	26.9759228431	32.7336437849	0.643
gate	-36.8411523627	-80.3363617702	0.888
resignation	32.2733252705	37.4567208295	0.742
fever	-44.2512311196	-4.87768307998	0.857
description	20.2753497265	-64.2284066228	0.802
beauty	-70.2359106255	-42.9105566459	0.858
mess	62.5898663876	11.6228582271	0.676
earlier	50.0118292479	69.1820531669	0.801
delicacy	-89.1095601229	-41.5406015901	0.878
multitude	78.2675920745	3.75401565883	0.720
unguarded	22.5324042261	-27.097829545	0.861
jumping	-9.75117499411	27.5096782948	0.840
curiosity	2.08667173717	14.4558395681	0.724
law	-64.2795457548	-42.4579198141	0.749
arch	86.9169467176	-17.8231433883	0.753
descent	27.0863855646	18.4816592027	0.801
purchase	-22.0291777146	24.6845223879	0.695
attempt	4.12847030305	93.191482615	0.814
prepossession	55.2234283473	5.08057325023	0.819
amid	0.736654803764	-40.6489971136	0.897
retort	84.6906319396	21.889682798	0.620
childhood	52.1696057398	-7.18403441766	0.818
wink	75.4426929683	42.9011148074	0.556
haste	30.8218814578	23.8064481108	0.681
entertained	5.62490117898	10.6930488108	0.759
nonsensical	56.2939941502	49.7633840368	0.721
order	-17.4655870701	66.6656807771	0.828
wind	-29.2802592974	-73.9920787553	0.892
wine	-30.5119656142	-2.14253389528	0.873
modesty	-73.7317067901	10.5985674701	0.823
office	-69.0502436221	-31.686745432	0.883
welcomed	-7.3102541092	-42.4225072802	0.813
consent	-6.80421724952	79.8331010054	0.741
concurrence	-30.7944213752	12.8070069462	0.814
fall	-0.593321912659	84.8012219202	0.788
misconduct	24.6139456509	-5.08609473117	0.709
wickedness	-21.0800639839	47.6669103883	0.825
fit	32.6765185417	72.160071462	0.721
personal	-59.1446603976	-25.1679721341	0.867
trying	4.6869947395	98.2591844804	0.846
expectations	1.27002856789	-17.0671203086	0.825
writing	22.7868915909	6.38091698013	0.791
destroyed	-0.311793589762	-77.8248599356	0.837
production	68.6568231864	2.58670152953	0.818
glanced	7.07914287968	18.6116008021	0.784
overcome	12.1708928291	54.2587911656	0.793
coffee	17.6838918403	26.3886266837	0.773
remedy	53.5825152319	47.5054200554	0.630
weakness	-16.1260627258	-17.5552575855	0.861
penetration	53.1446736647	-10.1049257594	0.749
beaux	72.759561807	56.6819126008	0.667
yourself	49.1387168599	83.7718129725	0.750
hertfordshire	21.5459252932	-44.7129815592	0.835
cautiousness	57.1362118482	-1.95464577761	0.733
gloom	-57.8235844857	-36.8918075141	0.925
meat	51.5895699243	-22.056852944	0.714
discomposure	23.8399057786	0.160872399277	0.800
quadrangle	15.4791171705	-39.164643308	0.873
sleepless	15.1290865803	-16.7370733123	0.839
rocks	36.4256651885	27.3338827864	0.761
good	-84.6366111198	33.3572779531	0.671
victory	70.4284471856	25.8115569812	0.656
side	-92.1043641813	-46.9824698072	0.677
mean	25.8564507179	102.168138004	0.821
interruption	-24.4451178583	-54.1950481105	0.827
series	-38.352934316	-33.2825336506	0.827
principles	-68.187709097	-11.511129368	0.861
taught	5.15595119396	60.4093323794	0.770
fortnight	21.1351356278	-78.3339876609	0.738
navy	-39.9966376489	-69.1055977914	0.906
message	-70.1167489532	2.49213458948	0.777
backgammon	48.8005235122	21.9931360578	0.770
decree	78.9811594775	7.42706373141	0.672
excepting	-27.962337435	-85.6805149179	0.849
gradation	53.6071358701	-26.6129986119	0.904
re	-7.94530982538	-59.1944615477	0.832
encourage	5.4739391832	87.7492574222	0.865
safety	-66.1234991207	-18.7967367092	0.887
remorse	66.8520665831	-1.74100417766	0.788
reader	64.2573850361	23.7107319139	0.689
surprise	12.5968843487	4.11974937707	0.605
independence	-76.9587001271	-43.0842418327	0.913
foundation	39.95211641	49.4534566912	0.726
perception	-29.3253973303	10.2705398873	0.898
city	59.6496228774	12.9297450187	0.796
revenge	29.5260295721	29.9440235953	0.684
management	-40.2515619662	-41.2852330797	0.916
evil	-82.4625737188	-60.9935651274	0.814
amazement	24.6799113713	12.106084497	0.845
mistress	-76.4248925414	-2.38426234601	0.826
solicited	39.9679146728	17.9104976149	0.805
storm	4.53970906422	-43.0275915782	0.845
shrubbery	-44.0129820351	-65.1291857147	0.899
professions	-69.5832904163	-46.0327460647	0.889
needlework	63.3483782827	-28.1645362496	0.818
steward	-12.9334805955	14.0041228777	0.804
caprice	-20.6189250722	32.5047592983	0.871
decency	76.0272154585	3.51922074581	0.759
encouraging	-27.2203716338	46.4879286115	0.814
rank	-69.4041144947	-46.9246836175	0.902
hearing	-16.4268034955	-12.5955366039	0.603
peculiarity	51.9126385456	-21.557908179	0.846
clamorous	44.7311000617	8.65630463169	0.875
discomposed	0.271316318305	52.5435676472	0.794
acquaint	-39.2616245878	10.903343698	0.877
top	-49.9766673182	-77.1182906308	0.932
engagement	40.9106635174	-49.3223796107	0.692
master	-69.3455535132	22.4644543335	0.797
observations	-66.9385915172	-16.5017159657	0.894
gowns	34.9675253047	-22.5942491625	0.862
inconvenient	74.0624410261	52.3448456984	0.749
legs	13.3660998901	15.8155032798	0.878
listen	7.74359037257	96.5613548338	0.863
illiterate	53.6876810221	-5.00161334187	0.836
cushions	1.66840300559	-39.772328165	0.882
gentlemanlike	-83.6825757996	31.0234457165	0.824
wisdom	53.9954797957	31.9734947867	0.676
requisite	-28.0218885993	40.2679534785	0.871
peculiar	-58.7698594782	-18.686740745	0.877
symptom	36.8076308826	-40.0236509745	0.785
distance	5.90278346299	-60.7281358151	0.747
anxiety	-55.5932751549	-14.7026486818	0.834
affront	16.6310603915	5.72301385304	0.752
showed	13.6584734644	22.483285796	0.735
tree	0.861888471239	-48.3595222216	0.865
bitterness	-23.7331629265	-34.7917047042	0.913
project	-17.9876983881	18.8960808822	0.858
matter	-70.067777193	56.3717505327	0.781
idle	-16.9179616843	-29.385223644	0.848
street	57.4616932401	-55.9920368902	0.837
guilt	-39.4950799332	-37.7783475114	0.850
friend	47.700017017	-86.7688806868	0.769
mirth	25.5078668299	-10.4224347783	0.843
feeling	-92.1589943097	-17.9943185653	0.723
acquisition	-42.1624771903	-42.5757475045	0.888
bridge	24.7774998741	4.77044204921	0.838
donkey	52.5292361861	64.5438270767	0.815
fashion	-36.8752960847	-15.3181946646	0.877
handkerchief	39.0395815675	22.3328204162	0.769
rattle	93.8893765904	34.1962690502	0.698
mind	-92.3974033565	6.05570659135	0.661
mine	-42.1452986026	55.6134903482	0.745
manner	-89.0896178761	-6.41809906153	0.672
further	8.04199251984	2.67926737681	0.738
seen	-30.7403488403	78.5522820378	0.805
seek	-8.50250062628	83.133659053	0.841
dozen	33.135966447	39.5186927696	0.658
affairs	-66.4311567747	-17.7899438719	0.903
strength	-68.9680585832	-54.8992596975	0.875
latter	-38.6874951544	-85.2623279568	0.939
elegance	-73.1443914194	-40.3389677146	0.897
