word	x	y	nearest
pardon	-12.5193161297	78.8783834136	0.655
similarity	30.9641389026	16.4078236923	0.327
yellow	48.9861492879	10.3014132982	0.358
sleep	79.2850727284	6.176620377	0.315
mansion	16.4333863722	-49.0611563552	0.293
woody	30.336680169	-71.1804850354	0.299
appetite	16.8011916281	-42.0587854712	0.267
integrity	40.9223732648	-49.5589935323	0.256
increase	46.5750553551	30.9283684274	0.461
seduction	78.2073500029	-15.088893472	0.230
investigation	32.9931954679	-56.1174948228	0.296
lord	43.1897030874	12.8164990036	0.370
sorry	8.3882059551	-50.6619221163	0.330
pride	-72.111280245	-28.1169080994	0.973
worth	-75.1116182423	9.57563323398	0.953
conjecture	3.2289050897	-36.0260313056	0.283
risk	13.2976849778	62.059946057	0.641
compassion	-77.497351961	-6.00335163395	0.961
rise	53.9616967289	57.8206176066	0.511
gratification	-18.6111274038	-84.1926208996	0.495
despondence	37.0366115212	50.6444029645	0.503
utmost	-82.4238220885	11.829760825	0.947
fireplace	20.580399406	-66.467779949	0.316
chapel	44.1710219078	-28.7024942865	0.276
school	-6.26961279009	54.9411770176	0.583
abhorrence	16.5219362267	-75.8387280986	0.454
frankness	-5.50086043165	-60.9675031435	0.361
convenience	-63.4308651736	36.299658521	0.915
succession	16.7951120345	-69.5032031659	0.403
whist	57.6764615925	57.0259662489	0.476
triumph	39.9121743586	-75.5381948797	0.283
enjoy	-17.091547586	11.9622642307	0.285
farmhouse	15.1369846272	-51.6290002889	0.260
card-table	43.0602325489	-44.7469558679	0.236
force	5.96815911947	11.9250807489	0.333
self-gratulation	-0.195275790551	-49.5207490742	0.239
street	-75.4502269565	8.25441905242	0.951
emptiness	23.0809368672	-2.06162776373	0.243
worthlessness	42.7727290282	-38.6776032469	0.226
liberty	-23.3157426811	62.4164241443	0.725
conduct	-85.3478051779	19.2349388094	0.943
admiral	20.1459618308	82.5300588045	0.667
inducement	55.6251104524	-3.72127425434	0.317
agreement	-36.3191521687	-88.9050843728	0.647
repugnance	-4.05666273535	-10.6931056772	0.250
gayer	54.0864960286	-24.825932498	0.266
met	17.7381311904	71.4530689792	0.650
protection	-49.6066853414	-93.2113401385	0.788
pursuit	53.4197814193	-29.1432004293	0.250
humility	24.9468564078	34.7811330206	0.502
path	-8.08735077865	79.0631277028	0.711
shortness	-9.21887354494	87.6645968486	0.758
property	-23.6043056939	75.8267788226	0.738
daughter	-80.0203069652	25.3613783947	0.927
unwillingness	14.746634842	-19.6621394377	0.226
study	-14.8826875004	-91.5406257605	0.544
ridicule	-35.0043511297	-80.9197766498	0.641
yarmouth	2.50578878279	-88.8905770038	0.548
credit	-38.8286907125	66.3972037778	0.819
guardianship	4.96101140928	-16.0961504977	0.262
punishment	40.5687845689	32.498483876	0.435
verdure	40.3267140094	-8.43225936655	0.297
secure	7.6445120448	54.1025332994	0.490
marianne	35.7666988315	-54.5574015382	0.263
summons	11.9995013875	-61.8375705288	0.298
county	66.4885015975	23.3104133455	0.278
patience	-75.5061394395	21.5210780815	0.938
glance	-40.9359358865	55.7830593291	0.850
total	55.264319456	5.16014696533	0.239
ebony	19.0671530203	-52.4526321948	0.327
army	49.8428140087	33.3487531839	0.290
agitation	-8.90165459147	55.8543528708	0.722
lessening	45.3917867291	45.8753273378	0.420
music	-73.6140659183	44.0745788177	0.909
calm	-21.8139334092	-21.8356913943	0.318
tradesman	20.1632385008	28.1761129921	0.383
city	16.7469302791	-32.2494173252	0.229
grief	-3.60382170208	-74.174307703	0.439
glass	54.4738152191	24.6846844643	0.320
ill-breeding	-5.45107857175	-61.4621784469	0.342
midst	11.0904346884	92.3329262166	0.679
copse	-3.6360027017	-45.02299429	0.315
word	-73.4722382991	-13.3414811183	0.969
room	-75.5424762207	-28.0744018055	0.973
err	51.2756184765	-52.0853933087	0.229
shame	-76.6864536075	10.8099072026	0.949
work	-85.5029605439	10.4247307294	0.955
worn	15.9441987127	-22.6386212141	0.239
example	16.5173485379	10.6163559418	0.337
quarrel	16.5591062799	79.439553155	0.685
estate	-60.9154033909	52.6867605547	0.871
give	-31.983891424	70.6278158031	0.798
household	18.5367386633	71.2845094507	0.545
assent	60.8294563439	30.8033254234	0.412
unpretending	20.7587300358	79.8229183942	0.671
caution	-71.5847603502	16.1166332997	0.941
want	-73.6282183957	17.2061642003	0.938
ceremony	-2.01695128621	-84.7001367866	0.539
end	-80.6848680024	-45.9743569114	0.984
recovery	-16.2206583054	67.5736754307	0.803
turn	11.6125905034	-49.6769819336	0.281
agony	-33.6958360305	-76.4177958032	0.597
feature	11.0898103569	-88.7316030255	0.318
stupidity	-22.2647570153	72.6166677065	0.750
answer	-80.4005710862	-47.1272487212	0.987
gate	-47.5557696557	70.1274066261	0.829
resignation	34.9546267182	55.3932753973	0.544
gaming	49.2597628558	-46.195103756	0.229
despondency	-19.6469795201	-72.7276320616	0.494
description	-7.73596926083	84.3375252081	0.730
beauty	-76.0213257932	-20.7591881761	0.976
lad	44.3890072211	29.5055754494	0.317
indignity	9.06325358651	-30.0906280377	0.216
multitude	-2.42857998687	18.7465043455	0.322
curiosity	-51.0986980689	-99.4533444122	0.829
law	9.4684001714	44.6117098017	0.446
arch	0.589987572035	41.1758853102	0.567
severity	18.1397834127	22.2930470951	0.404
purchase	37.0621258208	-76.5502951262	0.308
attempt	-77.3849742785	-8.23793744572	0.967
prepossession	76.7018932812	10.5981078954	0.254
retort	24.6609144615	-68.0773879358	0.310
neglect	49.0483005393	27.6557887541	0.463
wink	-10.7111356422	-77.1440595942	0.462
haste	-51.0834940517	-101.497554679	0.844
order	-63.8855786178	30.1174770239	0.910
wind	-65.4986867643	46.3099401472	0.888
wine	3.09669339081	-76.0760925622	0.445
modesty	75.7357753079	-5.62544719944	0.283
interpretation	7.92071161324	-23.2138850796	0.236
office	-7.74189439376	92.0648654559	0.762
consent	-76.4078823078	-15.3678581067	0.967
concurrence	41.6230371035	9.42013294236	0.248
fable	-26.2691127922	-50.5276575377	0.376
misconduct	42.2649402282	11.7607977676	0.422
wickedness	49.0415288402	32.5136586667	0.370
austerity	36.725399354	-54.8492844749	0.227
fit	25.1173230013	-53.1085704111	0.335
hypocrisy	9.49244734181	-22.4086211568	0.216
writing	24.4112800797	68.9667960443	0.631
plantation	13.7699365234	-71.069375839	0.451
overcome	66.8354211897	13.6098139728	0.317
coffee	29.6701815193	20.9894959789	0.345
breakfast-room	31.9773902754	-13.5111606495	0.325
weakness	-17.8343121453	54.2340801059	0.756
heaven	-42.3298834291	-96.8593143379	0.729
penetration	51.1561356967	-0.436539410283	0.323
beaux	48.5565084117	56.9826241932	0.456
cautiousness	-22.4084250265	-89.4181657919	0.602
rumour	27.5057863467	50.1359124581	0.538
gloom	22.7652017311	35.0560856133	0.398
meat	-35.3169012702	-74.8020821275	0.602
discomposure	75.6395231872	22.9946932654	0.280
mistrust	43.9276563571	-31.5690400543	0.224
good	-53.7101959396	56.499244402	0.858
victory	12.9314206255	63.8899311164	0.609
side	-72.0384902797	-12.9751218601	0.959
bone	23.3232752814	-7.11178089809	0.241
lasting	37.2319424847	54.6824049846	0.660
interruption	3.4569128567	8.31513099918	0.304
taught	27.2686369451	-50.4093616565	0.317
fortnight	-82.0506005014	-2.18804697334	0.961
message	-47.5436113539	70.2268076383	0.837
whip	22.976795163	-0.795946077803	0.263
misfortune	-21.5175562962	84.8752670325	0.748
safety	4.0114726744	83.4643562116	0.590
remorse	-4.56721361804	-53.427032298	0.299
self-deception	-10.1681723068	-8.29321773107	0.248
reader	-20.5355520001	87.0949429792	0.731
surprise	-78.3708832594	-46.5507065967	0.987
independence	24.8441191924	75.2071295905	0.633
foundation	28.2776723321	-38.9581212875	0.319
associate	-8.25639190306	-43.2330178496	0.259
revenge	-14.4851896402	-53.5661552298	0.490
formation	4.92047724627	-33.3339667691	0.285
rain	9.54490853129	77.5973457611	0.687
amazement	-9.15115825402	73.2169213769	0.755
mistress	-40.8323700449	76.0346565626	0.808
shrubbery	30.1847117058	73.5337323635	0.598
needlework	17.6804532716	-71.5294057318	0.367
steward	-42.9711232458	46.1979313479	0.850
caprice	-5.97838839167	-73.3174411118	0.472
penury	13.0170327878	0.300280658758	0.294
decency	54.6795934591	-23.4669789064	0.232
accent	19.7762407515	79.3782302273	0.675
rank	-43.4747765262	-93.0468484028	0.766
hearing	-73.1542568451	7.53150827014	0.956
peculiarity	27.4426607475	89.7957937703	0.602
service	-58.4846390663	54.7063003225	0.851
bequest	17.1904317976	-74.146255426	0.366
top	53.0216082648	-25.1367242066	0.265
infancy	-21.7976922549	73.9465551876	0.761
master	-42.0599813728	68.6110403564	0.818
ceiling	-11.6361785457	-24.6516932485	0.235
gentlemanlike	-25.1394442528	64.1462736179	0.791
wisdom	39.5096214943	-46.6214877918	0.232
symptom	38.4451941005	-71.6250929244	0.275
distance	19.6508782279	62.8870473034	0.502
anxiety	-58.1128753523	43.0362121978	0.898
exultation	-0.69216579756	69.0152995926	0.685
bitterness	19.3796190866	87.9487076317	0.668
project	53.1951866488	16.9049301916	0.437
matter	-67.0895759275	-21.5214746095	0.971
idle	-1.78553248706	39.3421846656	0.461
guilt	-46.8489723345	59.5138958274	0.861
speaking	-68.0500407211	-19.2973172137	0.974
barouche	-41.8120891422	76.417915317	0.831
mirth	7.63214145068	81.5766057624	0.657
feeling	-71.795532321	-35.4593822594	0.980
acquisition	-30.5086590133	80.9642395319	0.792
bridge	11.4017833126	72.9177940326	0.653
fashion	46.1794228468	68.1780121069	0.531
handkerchief	-27.9045938471	-86.9363560256	0.616
rattle	0.0278910757785	-47.8126522173	0.257
mind	-66.7121189767	-26.492217944	0.951
mine	75.0548759539	9.98429206502	0.350
manner	-67.5989995709	28.726440633	0.917
dozen	-25.6469024524	-85.1476760471	0.615
strength	-73.029420425	26.9984587173	0.925
hymen	42.2710736303	-22.5581446904	0.230
elegance	-68.4791841679	28.8672719838	0.916
niece	-47.0270486374	75.0196793534	0.854
impediment	-6.90647454768	68.5124536623	0.690
imprudent	75.6426258811	-5.51030739383	0.343
though	-56.5282271039	52.4272130907	0.866
object	-72.4845722492	-19.5838758079	0.974
mouth	18.4337183033	-82.7913374676	0.380
letter	-88.418802172	-56.8930018167	0.991
proverb	-27.3721810409	-85.6958376088	0.619
inconsistency	11.284729579	-89.0112666147	0.304
morality	56.8888674563	18.0877048418	0.394
constancy	5.3099116869	19.8485638899	0.322
observation	-52.5263934466	-99.9110566119	0.851
grove	28.8262111359	59.7103364503	0.528
alarm	-80.0217992242	-5.93157263663	0.966
clock	5.9038305669	78.9154447387	0.681
flow	6.41861275332	-72.2493887792	0.319
reputation	29.7593005042	-69.884425388	0.292
aunt	-93.6380637989	-61.1736722555	0.992
